Gene names,Gene names  (primary ),Status,Organism,Protein ID
CNOT3,CNOT3,unreviewed,Homo sapiens (Human),H7C148
CAPN1,CAPN1,unreviewed,Homo sapiens (Human),E9PLX0
MAPKAPK2,MAPKAPK2,reviewed,Homo sapiens (Human),P49137
WARS1,WARS1,unreviewed,Homo sapiens (Human),G3V5U1
RFC1 RFC140,RFC1,reviewed,Homo sapiens (Human),P35251
WARS1,WARS1,unreviewed,Homo sapiens (Human),G3V4A3
UTP18,UTP18,unreviewed,Homo sapiens (Human),J3QLD6
FBN1,FBN1,unreviewed,Homo sapiens (Human),H0YN80
PNP,PNP,unreviewed,Homo sapiens (Human),G3V393
ALYREF,ALYREF,unreviewed,Homo sapiens (Human),E9PB61
SLC2A6 GLUT6,SLC2A6,reviewed,Homo sapiens (Human),Q9UGQ3
VN1R5 V1RL5,VN1R5,reviewed,Homo sapiens (Human),Q7Z5H4
SMARCA4,SMARCA4,unreviewed,Homo sapiens (Human),A0A2R8Y5K3
RNASEH2B,RNASEH2B,unreviewed,Homo sapiens (Human),A0A2R8YEB4
COMT,COMT,unreviewed,Homo sapiens (Human),H7BZ45
RPRD2 KIAA0460 HSPC099,RPRD2,reviewed,Homo sapiens (Human),Q5VT52
AGO3,AGO3,unreviewed,Homo sapiens (Human),A0A0U1RR19
SPG21,SPG21,unreviewed,Homo sapiens (Human),H0YLW1
WDR48 KIAA1449 UAF1,WDR48,reviewed,Homo sapiens (Human),Q8TAF3
SAMD9L,SAMD9L,unreviewed,Homo sapiens (Human),A0A0B4J1Y6
LUC7L3 CROP hCG_27416,LUC7L3,unreviewed,Homo sapiens (Human),J3KPP4
HNRNPM,HNRNPM,unreviewed,Homo sapiens (Human),M0R2I7
GNS,GNS,unreviewed,Homo sapiens (Human),F5H4C6
LMF2 TMEM112B TMEM153,LMF2,reviewed,Homo sapiens (Human),Q9BU23
NCAPH BRRN BRRN1 CAPH KIAA0074,NCAPH,reviewed,Homo sapiens (Human),Q15003
TCF25,TCF25,unreviewed,Homo sapiens (Human),H3BQ53
