Gene names,Gene names  (primary ),Status,Organism,Protein ID
PNP,PNP,unreviewed,Homo sapiens (Human),G3V5M2
GFM1,GFM1,unreviewed,Homo sapiens (Human),C9IZ01
TSC2,TSC2,unreviewed,Homo sapiens (Human),A0A2R8Y5B2
PPIL4,PPIL4,reviewed,Homo sapiens (Human),Q8WUA2
GOSR2,GOSR2,unreviewed,Homo sapiens (Human),A0A1X7SBU8
TSC1,TSC1,unreviewed,Homo sapiens (Human),A0A2R8YD74
FBXO6,FBXO6,unreviewed,Homo sapiens (Human),J3KQ72
SPG21,SPG21,unreviewed,Homo sapiens (Human),H0YKM6
LDAH,LDAH,unreviewed,Homo sapiens (Human),B5MDU6
ARID1B,ARID1B,unreviewed,Homo sapiens (Human),H0Y3S9
SIRT2,SIRT2,unreviewed,Homo sapiens (Human),F8WCF4
TMEM205,TMEM205,unreviewed,Homo sapiens (Human),K7ELQ9
TOR1AIP1;LAP1,TOR1AIP1,reviewed,Homo sapiens (Human),Q5JTV8
EML3;hCG_20389,EML3,unreviewed,Homo sapiens (Human),G3V195
PDCD10,PDCD10,unreviewed,Homo sapiens (Human),C9J6F3
FST,FST,unreviewed,Homo sapiens (Human),H0YA75
BOLA3,BOLA3,reviewed,Homo sapiens (Human),Q53S33
DCAF11,DCAF11,unreviewed,Homo sapiens (Human),H0YNS2
DNAJC3,DNAJC3,unreviewed,Homo sapiens (Human),X6R9L0
PARN,PARN,unreviewed,Homo sapiens (Human),A0A494C1N1
RFK,RFK,reviewed,Homo sapiens (Human),Q969G6
CLASP1;KIAA0622;MAST1,CLASP1,reviewed,Homo sapiens (Human),Q7Z460
CAND1,CAND1,unreviewed,Homo sapiens (Human),A0A0C4DGH5
GPD1L,GPD1L,unreviewed,Homo sapiens (Human),C9K0P5
MTM1;CG2,MTM1,reviewed,Homo sapiens (Human),Q13496
PUM1,PUM1,unreviewed,Homo sapiens (Human),H0YDC5
MSH6,MSH6,unreviewed,Homo sapiens (Human),C9JH55
MAEA,MAEA,unreviewed,Homo sapiens (Human),B4DVN3
ARMC1,ARMC1,unreviewed,Homo sapiens (Human),E5RJ86
RPA3;REPA3;RPA14,RPA3,reviewed,Homo sapiens (Human),P35244
MAX,MAX,unreviewed,Homo sapiens (Human),Q6V3B1
AKT2,AKT2,unreviewed,Homo sapiens (Human),J3KTC6
IGFBP3,IGFBP3,unreviewed,Homo sapiens (Human),A6XND0
XPO5;KIAA1291;RANBP21,XPO5,reviewed,Homo sapiens (Human),Q9HAV4
NDUFB3,NDUFB3,reviewed,Homo sapiens (Human),O43676
MFN2,MFN2,unreviewed,Homo sapiens (Human),Q5JXC5
CD276,CD276,unreviewed,Homo sapiens (Human),H0YK40
PDLIM4,PDLIM4,unreviewed,Homo sapiens (Human),C9J542
SEC14L2;hCG_41297,SEC14L2,unreviewed,Homo sapiens (Human),B3KRD8
ACTL6A,ACTL6A,unreviewed,Homo sapiens (Human),C9JQT2
U2AF1L4,U2AF1L4,unreviewed,Homo sapiens (Human),K7EJM7
DHX57,DHX57,unreviewed,Homo sapiens (Human),H7C109
EGLN1;C1orf12;PNAS-118;PNAS-137,EGLN1,reviewed,Homo sapiens (Human),Q9GZT9
NUB1;NYREN18,NUB1,reviewed,Homo sapiens (Human),Q9Y5A7
DNAJC1,DNAJC1,unreviewed,Homo sapiens (Human),Q5T1X2
SH3KBP1,SH3KBP1,unreviewed,Homo sapiens (Human),Q5JPT3
RCN2,RCN2,unreviewed,Homo sapiens (Human),A8MXP8
NDUFS4,NDUFS4,unreviewed,Homo sapiens (Human),H0Y9M8
INTS1;KIAA1440;UNQ1821/PRO3434,INTS1,reviewed,Homo sapiens (Human),Q8N201
ATP5PD;ATP5H;My032,ATP5PD,reviewed,Homo sapiens (Human),O75947
OSBPL10,OSBPL10,unreviewed,Homo sapiens (Human),H7C487
GIGYF2,GIGYF2,unreviewed,Homo sapiens (Human),F8WCD5
H1-5;H1F5;HIST1H1B,H1-5,reviewed,Homo sapiens (Human),P16401
GPS1;COPS1;CSN1,GPS1,reviewed,Homo sapiens (Human),Q13098
CASP7,CASP7,unreviewed,Homo sapiens (Human),A0A5F9ZHZ6
YTHDF3,YTHDF3,unreviewed,Homo sapiens (Human),A0A087WY31
PON2,PON2,unreviewed,Homo sapiens (Human),A0A0J9YYJ1
MRPL20,MRPL20,unreviewed,Homo sapiens (Human),I3L2X1
GTF3C2,GTF3C2,unreviewed,Homo sapiens (Human),H7C1A9
CEP43,CEP43,unreviewed,Homo sapiens (Human),A0A087WV25
NCK1,NCK1,unreviewed,Homo sapiens (Human),H7C5C7
RWDD4;RWDD4A;hCG_1787251,RWDD4,unreviewed,Homo sapiens (Human),K4DI92
SAMHD1,SAMHD1,unreviewed,Homo sapiens (Human),A0A2R8YG48
CDK5RAP3,CDK5RAP3,unreviewed,Homo sapiens (Human),J3QS62
PAFAH1B3,PAFAH1B3,unreviewed,Homo sapiens (Human),M0R1K3
SLC30A1;ZNT1,SLC30A1,reviewed,Homo sapiens (Human),Q9Y6M5
SLC16A3,SLC16A3,unreviewed,Homo sapiens (Human),J3KTM6
PRKD1;PKD;PKD1;PRKCM,PRKD1,reviewed,Homo sapiens (Human),Q15139
NDUFB9,NDUFB9,unreviewed,Homo sapiens (Human),E9PH64
HGSNAT,HGSNAT,unreviewed,Homo sapiens (Human),E5RJN0
DDX18;cPERP-D,DDX18,reviewed,Homo sapiens (Human),Q9NVP1
RFTN1,RFTN1,unreviewed,Homo sapiens (Human),F8WAR1
FHL1,FHL1,unreviewed,Homo sapiens (Human),A0A494C0J3
GIPC1;C19orf3;GIPC;RGS19IP1,GIPC1,reviewed,Homo sapiens (Human),O14908
NDUFA10,NDUFA10,unreviewed,Homo sapiens (Human),A0A087WXC5
MARS1,MARS1,unreviewed,Homo sapiens (Human),F8W0M7
TIMM44,TIMM44,unreviewed,Homo sapiens (Human),M0R301
AP2A2,AP2A2,unreviewed,Homo sapiens (Human),E9PQP4
HACD2;PTPLB,HACD2,reviewed,Homo sapiens (Human),Q6Y1H2
TMPO;LAP2,TMPO,reviewed,Homo sapiens (Human),P42167
STUB1,STUB1,unreviewed,Homo sapiens (Human),H3BUD0
TOM1,TOM1,unreviewed,Homo sapiens (Human),F8WB30
EBF2,EBF2,unreviewed,Homo sapiens (Human),B7Z934
CAV1,CAV1,unreviewed,Homo sapiens (Human),E9PCT5
LPCAT3,LPCAT3,unreviewed,Homo sapiens (Human),F5H0M4
PNKP,PNKP,unreviewed,Homo sapiens (Human),M0QYI1
NCALD,NCALD,reviewed,Homo sapiens (Human),P61601
FRMD6,FRMD6,unreviewed,Homo sapiens (Human),G3V2L4
MAX,MAX,unreviewed,Homo sapiens (Human),G3V5L1
